,MaterialKey,Total
946,70000549,0.0
947,70000550,0.0
948,70000553,27.0
949,70000554,0.0
950,70000558,0.0
951,70000559,0.0
952,70000562,0.0
953,70000567,520.0
954,70000568,96.0
955,70000569,32.0
956,70000570,0.0
957,70000574,0.0
958,70000576,0.0
959,70000577,496.0
960,70000580,0.0
961,70000581,400.0
962,70000583,18750.0
963,70000585,0.0
964,70000586,0.0
965,70000589,0.0
966,70000590,0.0
967,70000591,25.0
968,70000592,0.0
969,70000593,0.0
970,70000594,0.0
971,70000595,0.0
972,70000596,34.0
973,70000601,0.0
974,70000602,0.0
975,70000604,0.0
976,70000605,14.0
977,70000606,419.0
978,70000608,0.0
979,70000610,16.0
980,70000614,0.0
981,70000615,0.0
982,70000619,0.0
983,70000621,1.0
984,70000622,0.0
985,70000623,0.0
986,70000626,0.0
987,70000627,0.0
988,70000630,0.0
989,70000631,0.0
990,70000632,0.0
991,70000635,0.0
992,70000636,0.0
993,70000637,0.0
994,70000640,42.0
995,70000641,38.0
996,70000642,36.0
997,70000644,0.0
998,70000646,0.0
999,70000647,0.0
1000,70000648,0.0
1001,70000649,2.0
1002,70000650,27.0
1003,70000651,87.0
1004,70000652,0.0
1005,70000654,0.0
1006,70000655,35.0
1007,70000656,0.0
1008,70000657,181.0
1009,70000658,61.0
1010,70000659,11.0
1011,70000661,166.0
1012,70000662,256.0
1013,70000663,648.0
1014,70000664,697.0
1015,70000665,22.0
1016,70000667,30.0
1017,70000668,11.0
1018,70000669,28.0
1019,70000671,54.0
1020,70000672,23.0
1021,70000674,0.0
1022,70000675,2.0
1023,70000676,149.0
1024,70000677,43.0
1025,70000678,660.0
1026,70000679,29.0
1027,70000680,0.0
1028,70000681,357.0
1029,70000682,2.0
1030,70000683,0.0
1031,70000684,0.0
1032,70000685,24.0
1033,70000686,0.0
1034,70000687,10.0
1035,70000691,2.0
1036,70000695,23.0
1037,70000698,1392.0
1038,70000699,0.0
1039,70000700,0.0
1040,70000702,1560.0
1041,70000703,780.0
1042,70000705,0.0
1043,70000706,0.0
1044,70000708,52.0
1045,70000711,2.0
1046,70000712,24.0
1047,70000716,0.0
1048,70000718,0.0
1049,70000719,0.0
1050,70000720,3360.0
1051,70000721,5.0
1052,70000723,0.0
1053,70000724,0.0
1054,70000725,0.0
1055,70000726,0.0
1056,70000727,0.0
1057,70000728,0.0
1058,70000730,0.0
1059,70000731,0.0
1060,70000737,0.0
1061,70000740,1414.0
1062,70000741,50.0
1063,70000742,0.0
1064,70000749,0.0
1065,70000750,0.0
1066,70000751,0.0
1067,70000752,0.0
1068,70000759,2000.0
1069,70000760,3.0
1070,70000761,76.0
1071,70000762,0.0
1072,70000763,0.0
1073,70000765,44.0
1074,70000766,12.0
1075,70000767,14.0
1076,70000768,14.0
1077,70000769,6.0
1078,70000772,4.0
1079,70000773,10.0
1080,70000774,16.0
1081,70000775,2.0
1082,70000776,9.0
1083,70000778,1.0
1084,70000779,4.0
1085,70000780,0.0
1086,70000781,0.0
1087,70000782,1.0
1088,70000783,11.0
1089,70000784,5.0
1090,70000785,3.0
1091,70000786,7.0
1092,70000787,125.0
1093,70000788,1.0
1094,70000790,1.0
1095,70000791,11.0
1096,70000793,40.0
1097,70000794,3.0
1098,70000795,15.0
1099,70000797,16.0
1100,70000798,1.0
1101,70000799,13.0
1102,70000800,0.0
1103,70000801,7.0
1104,70000802,1.0
1105,70000803,0.0
1106,70000804,1.0
1107,70000805,9.0
1108,70000806,144.0
1109,70000807,2.0
1110,70000808,2.0
1111,70000809,1.0
1112,70000810,51.0
1113,70000811,4.0
1114,70000812,3.0
1115,70000814,1.0
1116,70000815,3.0
1117,70000816,10.0
1118,70000817,26.0
1119,70000818,5.0
1120,70000819,46.0
1121,70000820,2.0
1122,70000821,9.0
