,semana,of,descricao material,descricao consumo,ct
96,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
97,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
98,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
99,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
100,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
101,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
102,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
103,18,1600045415,"PL CC 8402/000 915X610X6,0 01",BL CC 8402/ORT 915X610X200 NE,CNMLAMPL
104,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
105,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
106,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
107,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
108,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
109,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
110,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
111,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
112,18,1600066067,"PL CC 8402/000 950X650X5,0 NE",BL CC 8402/000 950X650X200 NE,CNMLAMPL
