Sum Quantity,,,
MaterialKey,MaterialName,Lot,Total
33000018,CT. TRIT N V - CRU VIRGEM,CORT200878,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200892,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200900,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200926,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT200929,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT201192,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT201245,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT201359,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210220,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210225,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210228,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210247,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210253,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210258,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210272,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210288,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210361,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210365,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210453,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210569,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210585,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210605,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210678,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210717,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210720,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210727,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210734,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210752,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210806,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210833,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210896,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210923,0
33000018,CT. TRIT N V - CRU VIRGEM,CORT210964,0
